vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
(주) 드림오피스유통,4.85,0.4893604849295929,0.0,531.5,0.07142857142857142,0.0,0.2777777777777778,20,20.0,16.0,0.0625,0.0,0.0,16.0,0.8,0.0,0.7829451239297786,0.9624999999999999,0.17955487607022136,1,0,2
(주)리빙스토리,4.333333333333333,1.2780193008453877,0.14285714285714285,144.66666666666666,0.14285714285714285,0.047619047619047616,0.5,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.8333333333333333,0.2142857142857142,1,0,2
(주)씨제이이엔엠 (CJ온스타일),2.5714285714285716,1.511857892036909,0.42857142857142855,220.57142857142858,0.0,0.0,0.0,7,7.0,14.0,0.07142857142857142,0.0,0.0,14.0,2.0,0.14285714285714285,0.772108843537415,0.3928571428571429,0.37925170068027214,1,1,4
"(주)어거스트포코리아(AUGUST FOUR KOREA Co.,Ltd.)",4.0,0.0,0.0,855.0,0.0,0.0,0.0,1,1.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.8333333333333334,0.75,0.08333333333333337,1,1,4
(주)에스티아이그룹,4.0,0.0,0.0,741.0,0.0,0.5,0.0,2,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.75,0.25,1,1,3
(주)에치와이,3.923076923076923,1.6714802283742853,0.23076923076923078,82.34615384615384,0.3888888888888889,0.0,0.5625,26,26.0,15.0,0.06666666666666667,0.0,0.13333333333333333,15.0,0.5769230769230769,0.0,0.6153846153846154,0.7307692307692307,0.11538461538461531,1,0,2
(주)와이엔지컴퍼니,3.5,0.5773502691896257,0.0,160.75,0.0,0.0,0.0,4,4.0,3.0,0.0,0.0,0.0,3.0,0.75,0.0,1.0,0.625,0.375,1,1,3
(주)원데이뉴트리션,4.3,1.4903196407411894,0.15,429.1,0.0,0.0,0.375,20,20.0,8.0,0.0,0.0,0.0,8.0,0.4,0.05,0.7166666666666667,0.825,0.10833333333333328,1,0,2
(주)유니씨앤씨,3.6666666666666665,0.5773502691896258,0.0,797.0,0.0,0.3333333333333333,0.0,3,3.0,4.0,0.0,0.25,0.0,4.0,1.3333333333333333,0.0,0.9333333333333332,0.6666666666666666,0.2666666666666666,1,1,3
(주)유니토아,4.0,0.0,0.0,1098.0,0.0,0.0,0.0,1,1.0,4.0,0.25,0.0,0.0,4.0,4.0,0.0,0.8,0.75,0.050000000000000044,1,1,4
"(주)제이케이트레이딩앤뉴트리션(JK TRADING & NUTRITION co.,Ltd.)",4.0,0.0,0.0,555.0,0.0,0.0,0.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.8333333333333334,0.75,0.08333333333333337,1,1,4
"(주)케이지에프앤비 (KG F&B Co., ltd)",4.0,0.0,0.0,277.0,0.0,0.0,0.0,1,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.75,0.25,1,1,5
(주)콤비타코리아,4.0,0.0,0.0,269.0,0.0,0.0,0.0,1,1.0,7.0,0.2857142857142857,0.0,0.14285714285714285,7.0,7.0,0.0,1.0,0.75,0.25,1,1,5
(주)클릭나라 신계지점,4.0,0.0,0.0,120.0,0.3333333333333333,0.0,0.0,2,2.0,3.0,0.0,0.0,0.0,3.0,1.5,1.0,0.0,0.75,0.75,1,1,4
(주)현대홈쇼핑(방송),4.466666666666667,1.0600988273786194,0.06666666666666667,0.0,0.0,0.0,1.0,15,15.0,1.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.5,0.8666666666666667,0.3666666666666667,1,1,3
88그로스,4.0,0.0,0.0,985.0,0.0,0.5,0.0,2,2.0,7.0,0.0,0.14285714285714285,0.0,7.0,3.5,0.0,0.8947368421052632,0.75,0.14473684210526316,1,1,3
BonBon,4.0,0.0,0.0,415.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1,1,4
Coupang,4.0,0.0,0.0,668.0,0.0,0.0,0.0,1,0.3333333333333333,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.75,0.25,3,1,5
KHMALL,1.0,0.0,1.0,114.0,0.2,0.25,0.0,4,4.0,7.0,0.0,0.0,0.2857142857142857,7.0,1.75,0.25,0.625,0.0,0.625,1,1,4
LOWA INC,3.5,0.7071067811865476,0.0,1126.5,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.625,0.1785714285714286,1,0,2
